"CASE","SERIAL","REF","QUESTNNR","MODE","STARTED","DA01_01","DA01_02","DA01_03","DA01_04","DA01_05","DA01_06","DA01_07","DA01_08","HU01","HU01_01","HU01_02","HU01_03","HU01_04","HU01_05","HU01_06","QE01","QE02","QE03","QE04","QE05","QE06","QE07","QE08","QE09","QE10","QE11","QE12","QE13","QE14","QE15","QE16","RG01_CP","RG01x01","RG01x02","RG01x03","RG01x04","RG02_CP","RG02x01","RG02x02","RG02x03","RG02x04","SD01","SD02_01","SD04","WC02","TIME001","TIME002","TIME003","TIME004","TIME005","TIME_SUM","MAILSENT","LASTDATA","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI"
108,,,"qnr2","interview",2023-11-18 12:53:39,"hu10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,26,13,6,0,11,10,7,12,1,25,4,1,8,12,85,,,105,,2023-11-18 12:55:24,0,0,3,3,0,0,085
109,,,"qnr2","interview",2023-11-18 12:55:29,"a4","hu9",,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,0,30,4,10,20,0,9,15,8,4,1,23,3,1,22,15,41,128,,206,,2023-11-18 12:58:55,0,0,4,4,0,0,101
111,,,"qnr2","interview",2023-11-18 12:58:47,"hu28","a3","a11","a18","hu26","a29","hu20","hu25",4,2,1,2,2,2,1,2,4,1,2,2,3,1,2,2,5,1,4,2,3,2,2,0,29,3,18,11,0,25,28,20,26,1,21,3,1,16,12,20,3202,14,323,,2023-11-18 13:53:11,1,0,5,5,0,0,089
113,,,"qnr2","interview",2023-11-18 12:59:12,"a21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21,28,19,27,0,30,21,23,18,1,22,4,1,11,12,17,,,40,,2023-11-18 12:59:52,0,0,3,3,0,0,116
114,,,"qnr2","interview",2023-11-18 13:03:26,"hu19","hu24","hu3","a25","a15","a23","hu1","a12",3,1,1,2,2,2,1,1,2,1,2,2,3,1,2,2,4,1,3,2,3,1,2,0,12,23,15,25,0,3,24,1,19,1,30,2,1,4,15,21,235,16,291,,2023-11-18 13:08:17,1,0,5,5,0,0,13
115,,,"qnr2","interview",2023-11-18 13:06:24,"hu13","a16","a14","a5","a24","hu22","hu16","hu17",2,2,1,2,1,1,1,2,4,1,3,2,2,2,4,2,4,2,4,2,4,1,3,0,24,14,5,16,0,16,17,13,22,2,60,2,1,10,17,17,217,12,273,,2023-11-18 13:10:57,1,0,5,5,0,0,119
119,,,"qnr2","interview",2023-11-18 13:07:55,"a8","hu27","a3",,,,,,,,,,,,,1,2,1,3,,,,,,,,,,,,,0,3,9,13,8,0,6,19,27,22,1,23,3,1,15,21,9,52,,97,,2023-11-18 13:09:32,0,0,4,4,0,0,177
125,,,"qnr2","interview",2023-11-18 13:15:33,"a4","hu8","hu26","a25","a18","hu20","hu9","a2",2,2,1,1,2,1,1,1,2,2,2,2,4,1,4,1,3,2,3,1,2,1,2,1,18,2,25,4,1,20,9,8,26,2,62,3,1,9,22,27,252,29,339,,2023-11-18 13:21:12,1,0,5,5,0,0,084
126,,,"qnr2","interview",2023-11-18 13:16:26,"a11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,9,8,11,1,4,10,1,29,1,22,1,1,4,18,2,,,24,,2023-11-18 13:16:50,0,0,3,3,0,0,194
127,,,"qnr2","interview",2023-11-18 13:30:31,"hu28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26,17,14,7,1,17,28,23,14,1,23,4,1,19,212,8,,,42,,2023-11-18 13:34:30,0,0,3,3,0,0,116
128,,,"qnr2","interview",2023-11-18 13:36:44,"a12","hu5","hu6","hu21","a23","hu13","a22","a30",1,1,1,1,1,1,2,1,1,2,2,2,3,1,1,1,1,1,2,1,1,2,1,1,23,30,22,12,1,6,5,13,21,2,28,2,1,14,24,33,254,32,357,,2023-11-18 13:42:41,1,0,5,5,0,0,072
129,,,"qnr2","interview",2023-11-18 13:52:35,"a27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,27,1,19,6,1,11,3,15,18,1,23,3,1,8,18,7,,,33,,2023-11-18 13:53:08,0,0,3,3,0,0,161
131,,,"qnr2","interview",2023-11-18 14:23:58,"a20","a29",,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,1,20,10,21,29,1,16,2,27,30,2,23,4,1,4,14,20,145,,183,,2023-11-18 14:27:01,0,0,4,4,0,0,154
132,,,"qnr2","interview",2023-11-18 14:25:32,"a24","a16",,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,1,24,28,5,16,1,7,12,24,25,1,35,2,1,13,22,52,54,,141,,2023-11-18 14:27:53,0,0,4,4,0,0,12
133,,,"qnr2","interview",2023-11-18 14:29:26,"hu9","hu6","a2","a26","a13","hu29","a3","hu27",1,1,1,1,2,1,1,2,1,1,3,1,2,2,3,1,2,2,2,1,2,1,2,2,3,13,26,2,2,29,27,9,6,1,23,3,1,14,18,35,237,7,311,,2023-11-18 14:34:37,1,0,5,5,0,0,119
136,,,"qnr2","interview",2023-11-18 15:13:12,"a18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,23,7,20,18,2,14,11,22,28,1,23,2,1,21,18,40,,,79,,2023-11-18 15:14:31,0,0,3,3,0,0,062
139,,,"qnr2","interview",2023-11-18 15:20:12,"hu17","a6","hu13","a15","a28","hu19","a9","hu21",1,1,1,1,1,2,1,2,2,1,2,1,2,1,2,1,3,2,2,1,3,1,2,2,9,6,28,15,2,19,21,13,17,2,63,2,1,29,26,36,764,27,861,,2023-11-18 15:34:54,1,0,5,5,0,0,052
140,,,"qnr2","interview",2023-11-18 15:44:56,"hu15","a22",,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,,2,19,30,22,25,2,5,4,15,24,1,25,3,1,4,269,20,158,,197,,2023-11-18 15:52:27,0,0,4,4,0,0,124
141,,,"qnr2","interview",2023-11-18 16:08:14,"a21","hu2","a11","a29","hu10","a8","hu30","hu3",2,1,2,1,2,1,1,1,4,2,3,1,2,1,3,2,3,1,3,2,2,2,4,2,11,8,29,21,2,30,3,10,2,2,23,3,1,4,13,19,317,17,370,,2023-11-18 16:14:24,1,0,5,5,0,0,129
142,,,"qnr2","interview",2023-11-18 16:34:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,23,2,1,6,11,,,,17,,2023-11-18 16:34:41,0,0,2,2,0,0,135
143,,,"qnr2","interview",2023-11-18 16:37:41,"hu16","hu26",,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,2,4,14,5,17,2,23,1,26,16,1,24,4,1,3,12,2,50,,67,,2023-11-18 16:38:48,0,0,4,4,0,0,248
144,,,"qnr2","interview",2023-11-18 16:53:00,"hu20","a16","hu7","a24","hu12","hu8","a10","a27",1,2,1,1,1,1,1,2,2,2,2,2,1,1,1,2,1,2,1,1,1,1,1,2,24,27,16,10,2,8,7,12,20,1,23,2,1,4,13,1,460,29,507,,2023-11-18 17:01:27,1,0,5,5,0,0,148
145,,,"qnr2","interview",2023-11-18 17:28:04,"a12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,26,1,12,2,6,25,18,22,2,23,3,1,4,14,7,,,25,,2023-11-18 17:28:29,0,0,3,3,0,0,202
146,,,"qnr2","interview",2023-11-18 17:32:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,3,,2023-11-18 17:32:46,0,0,1,1,0,0,267
149,,,"qnr2","interview",2023-11-18 19:00:03,"a16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,8,16,6,3,28,27,4,18,1,23,2,1,4,10,1,,,15,,2023-11-18 19:00:18,0,0,3,3,0,0,217
151,,,"qnr2","interview",2023-11-18 19:47:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9,8,,,,,8,,2023-11-18 19:47:23,0,0,1,1,100,100,1
153,,,"qnr2","interview",2023-11-18 19:58:40,"hu23","hu1","a3","a1","a18","hu25","a14","hu2",,,,,,,,1,4,1,3,2,2,2,4,2,4,2,2,2,3,-9,-9,3,18,1,3,14,3,2,25,1,23,2,34,2,1,16,13,1,64,,94,,2023-11-18 20:00:14,0,0,4,4,10,10,191
